resource_id,value
8,fbd0479b-dbb4-4eaa-95b8-f27e1c423e4b
9,42219787-59b5-4570-b811-c3d1ff7ad321
11,1de1d067-53a5-4981-a122-daa047367056
12,d28ad412-0d21-4a16-ab81-840fe3ffde71
14,952f7be5-2dec-40a7-b28a-0d5ccc91124e
15,8b0089a9-66fc-4833-ab13-21d92f7f7aa4
13,daaf81b0-f1a7-435c-9216-a8fb56390887
319,008d386c-9e2a-4b69-b907-9073228b1bb8
320,01d0ba4f-cb36-4693-9ae9-0802cb6c3ad7
321,025068e3-118e-4f73-a59e-8a392f552407
322,0738c995-30a4-4eed-8d5b-0f22fdefbf0b
323,08248115-643f-4517-94e9-c0656605c8a8
324,08db2339-d541-465b-ab3f-9f4505c9a8ae
325,0996d9dd-d6df-4a4e-9f7a-897636043dcb
326,0abe75ce-42db-4640-8bda-39518573c261
327,0aeaf9aa-ad12-4072-b771-f9b7142e16bc
328,0b522ecf-ad18-40df-99fc-ecfdf3a012e3
329,0b6119a4-a55f-4019-8e7d-59bd9bbbbdb2
330,0c87d662-4030-4a4d-a43d-bbed1e8391d8
331,0d67486b-2d4f-46f4-871d-efc2b9fb8d79
332,0dc3c5a3-505e-4208-be96-942b85e3f66a
333,0ed0ed05-fba5-4d3b-94c8-b337358c4194
334,0fab37ab-086c-49b3-98b8-81c0a3e0a56c
335,10d4e80a-83d7-4517-80ae-fe44f6c1b1e0
336,11087616-7dd4-44a1-ba5f-4236497b4432
337,116f9ca8-3324-487e-9379-c4b87e2dc5ee
338,135707b0-d7b3-4f8a-9ceb-c4c99735c044
339,156bf3f5-4b37-4976-89f0-a143fca3c407
340,15aafdc2-1da9-4117-8cea-c28de1ca5ba4
341,15dd5a92-e055-4dcb-a302-1ed3adc3716f
342,1656706f-1b35-47e0-a8a4-46c38d41f87c
343,16792e52-175d-4b5e-998f-00186f6ac73f
344,16d85ce9-de75-4a2d-8d3f-09d10873ad0c
345,18a457d3-482b-45c7-940b-ca1ac0640ab3
346,19bbba83-5e0e-474a-bc44-4b3fd8cc5522
347,19bcc843-27cb-4a3b-9358-deb1c600bd6e
348,19f2ff59-b406-4930-86b0-ea5524dd2901
349,1b15d036-4918-49fb-85f2-c92f4ba3195f
350,1b5e1d08-0a14-42e9-955b-765a2e6f2e07
351,1c97c4be-fdd6-4aa6-ba24-6b1e3455f5f8
352,1ce9bbd3-6af1-4977-a2fb-ffb6de48fc0c
353,1d02454b-a09d-4bfb-bff5-87dd72c7cee4
354,1da97a6a-79a4-4203-a065-e8acf4d03481
355,1f430382-9fba-4268-ba02-11f7466390c3
356,1fb321f5-a640-4592-9553-3d5a052e8130
357,205dcd6f-21eb-49ed-a173-5a165491c15d
358,208c73de-428e-41a3-b5c0-7e43c54618bc
359,22105067-2318-4a6e-bebd-57845d9ffcca
360,2238ecf8-20a2-464d-8db9-8df3ca8a6d59
361,22b10968-20a4-489a-b897-d3f1317078a0
362,2320ecf4-b63b-4355-98d6-8b5c0057b610
363,247f457d-d015-4cc7-a56a-24046e5fb90d
364,24b3ee14-daa7-4fb8-bf4a-3940f9731ca5
365,25301256-976b-4d6e-aa04-9a1722ad54d3
366,25c7eaf3-ef06-4584-b312-25a634edfc46
367,25f7ed6b-92f4-4561-862a-cf1504358856
368,2ad33161-65b9-4b06-89a9-3267af75eaf4
369,2b3a5bac-2fd1-4378-bf0a-a7a89db61597
370,2c44dd18-486d-4440-a72c-0eb14201ebd8
371,2cc499ef-a0b8-4e79-88c5-59921cffe26b
372,2f285707-1196-4e06-9bac-03fbf4cf4dfe
373,30046fb3-4280-4d9a-ba03-4136d73a7d87
374,305e571a-095b-4f4d-87ed-e53fcef606e2
375,335e0421-a80d-4f32-a8d2-feb82517a2f5
376,35613d89-75f4-4acb-a8f5-65c5a1c40162
377,3569618b-b580-4da3-bac1-117e91af2a94
378,36198121-18ce-48db-a6b6-4086111a0024
379,383681ee-64cd-4fff-8c24-142c1f7f2409
380,394d0b83-f98f-4ead-b548-e459d3b08a38
381,3a10a5e2-c19f-414b-8d2a-b5df8a2badc3
382,3ada8c2f-f51f-4cc8-84f5-6af807ebe2a2
383,3ae78489-c415-42d9-bf87-f1541a254306
384,3b4b1947-479e-42b5-87b4-57d1a6432e38
385,3e676af7-bd31-4d7c-a32a-5813a7d4d840
386,3ec5453d-40b0-4e37-8ee6-11163b3c67ee
387,3edefe88-6c17-4712-99b8-bd01c4c9d523
